prompot,completion（内涵）
相,对相的理解需要依照梵文原词和判教，在三时教法中，相要作外相和似相两种理解，第一种，外相，梵文最常用的是两个词，nimitta和lakṣaṇa，nimitta一般用于表达抽象的相，lakṣaṇa往往表达具体的相，相貌、形状、特征的意思，这两个词往往都翻译成“相”，其实严格意义上，应该翻成“外相”，心外之物的相，是凡夫误以为存在着的心外事物的相，是遍计所执自性，凡夫认为存在，而圣者认为不存在第二种，似相，阿赖耶识杂染种子现行，要是两件事儿，显现与分别，显现，就是生了翳病的眼睛显现出了似毛的影，这个影梵文是ābhāsa，往往翻译成影相，指这个影的相，是似外之相
名,在三时教法中对“名”有两种不同的理解：第一，从凡夫角度看，名对应的梵文是nāma，就是名字、名言的意思，是遍计所执自性，是凡夫认为存在，而圣者认为不存在；第二，从圣者角度看，名不是名言本身，而是给妄想的心外事物“安立名言”，此时名属于依他起自性，是圣者能见的阿赖耶识杂染种子现行时表现出来的分别的功能，安立名言这件事，也是个kṛ（虚妄分别），就会在阿赖耶识熏习下杂染种子，就叫“名言种子”，正是“名言种子”作为主导力量，才形成了ābhāsa“似外的显现”
分别（妄想）,分别就是在圣者看来，凡夫心外根本没有事物存在，可非要误以为凡夫心外有事物存在的这个误以为 ，就是虚妄分别，作为五法之一时，更多的时候被译为“妄想”，是依他起自性的“杂染”部分
妄想,"就是虚妄分别，也译作分别，作为五法（名、相、妄想、正智和如如）之一时，更多的时候被译为“妄想”，是依他起自性的“杂染”部分，在佛法里，分别指的就是凡夫能所分离的认知模式，
就是在圣者看来，凡夫心外根本没有事物存在，可非要误以为凡夫心外有事物存在的这个误以为 "
正智,是指见道位之后登初地的菩萨一直到成佛的智，正智就是佛陀三时教法的纲领五法中的一法，对应于依他起自性的清净部分。圣者的认知模式，就是“能所不分离”的认知模式。
真如（如如）,如如，是圣者的心的行处。圆成实自性就是圣者证悟的真实性——真如；不空如来藏就是真如；法性就是真如
表诠,因明学用语，就是直接陈述、正面肯定的解释，表诠是一种表述方式，与遮诠相对。表诠本身也属于名言，是佛法的一部分，完整的佛法包括说通与宗通，表诠属于说通，只要有表诠，就有能诠与所诠
空,"空是佛教的标志，佛教也被称为“空门”，佛教说的空，空的是原本不存在，只是凡夫无明所障，误以为的存在。性空破我执，佛陀说无我，无自性；空性破实执，佛陀说无生，一切法压根没产生，
凡夫境界的存在是以什么都不存在、压根无生为基本特征的。"
清净（种子）,"佛教中清净是与杂染相对的概念，指无分别，也经常用来指佛陀三时教法中依他起性中的清净依他起。如实认知熏习的种子，就是清净种子。知道原来只是生了翳病的眼睛所显现出来的似毛的影，
仅仅是影，那个我们误以为的眼睛之外的毛其实根本、压根儿就不存在，这就是如实认知。"
杂染（种子）,"杂染在佛教当中具有特定含义，是与清净相对的概念，就是指分别。这个词也经常用来指佛陀三时教法中，依他起自性中的杂染部分。依他起自性的杂染部分，就是阿赖耶识的熏习与现行。
阿赖耶识中的那些积淀的种子，其实全都是凡夫误以为心外有物的错误认识所熏习的。是由这些错误认识熏习的种子而成就的阿赖耶识，这些虚妄分别成就的藏识。"
人无我,这个常一不变、独立存在的六道轮回中的精神主体，是不存在的，这就是“人无我”
法无我,三时教法了义的法无我就是知道五蕴、十八界、十二处都是遍计所执自性，就是觉知蕴、界、处等凡夫心外的一切事物，其实压根不存在。二时教法中的空性即法无我，也就是凡夫境界是以从来、压根就没有存在过为其基本特征
二无我智,"破除人我执和法我执之后圣者的智慧。二无我智有广义和狭义之说，从广义上讲，包含小乘人无我智和大乘二无我智。小乘人无我智随顺佛陀证悟的真实，随顺二无我智，但不究竟。
从狭义上讲，大乘了义教法，佛陀破除凡夫自以为的真实的世界，就是破“人我执”和“法我执”。"
净名弘法六要点,净名弘法六要点，净名精舍术语，指净名精舍弘法所依止的六个原则要点。一、严格依据《解深密经》纵向判教体系；二、坚持佛陀横向教理体系——破增益、补损减；三、二时教法与三时教法最根本的差异在于佛陀说法的立足点不同；四、学习弘传大乘佛法依止佛陀和六位论师；五、弘法力求简洁、通俗；六、净名精舍一切学习、讨论的佛法教理，都是观修的法门——理论与修行并重
净名度生四加一,"净名度生四加一，净名精舍术语，是净名精舍首席学术导师于晓非教授总结的度众生的布施修行法门。包括五件事：（一）努力告诉众生，佛说轮回如梦；（二）告诉众生佛陀找到的从人生大梦中醒来的方法；（三）如果一时半会醒不了，告诉众生佛陀教诲我们怎么做，就能导致美梦而不做恶梦；
（四）对那些正在做恶梦的众生，告诉他为什么别人在做美梦，而你却在做恶梦；（五）尽我们所能，努力帮助正在做恶梦的众生。"
说法的立足点,说法的立足点，净名精舍术语，是净名精舍首席学术导师于晓非教授总结的学修佛法的金钥匙。“立足点”本义指观察或判断事物时所处的立场。“说法的立足点”即基于三时判教的划分和佛经中所体现的教义、教理而归纳总结的佛陀说法的立场。因此，要理解《解深密经》三时判教的关键，是理解佛陀说法的立足点的差异。初时教法、二时教法和三时教法最根本的差别就在于佛陀说法的立足点不同：初时与二时教法，佛陀立足于凡夫境界向凡夫说法；而三时教法佛陀立足于圣者境界向凡夫说法。
中观见派,中观见派，佛教术语，梵文mādhyamika，是大乘佛教流派，是对佛陀的二时教法教理体系进行全面系统解读的学派，称为“空宗”，中国人简称中观。龙树被后世奉为中观见派的祖师，他被公认为是对佛陀二时教法的甚深般若波罗蜜法门的最权威阐释者。中观见派为印度大乘佛教的两大派别之一，另一为瑜伽行派，就是对三时教法教理体系全面系统解读的唯识，亦称为“有宗”
瑜伽行派,瑜伽行派，佛教术语，梵文yogācāra，对佛陀的三时教法进行梳理的学派称瑜伽行派，中国人称其唯识。唯识是个名言，指佛陀三时教法的学术体系。无著、世亲和弥勒是传承佛陀三时教法瑜伽行派，也就是唯识论的祖师。瑜伽行派典籍有《唯识二十论》、《唯识三十颂》、《三自性论》（Trisvabhāvanirdéca）、《摄大乘论》、《辩中边论》、「五蕴」、「集论」、「百法」、《瑜伽师地论》、《唯识》、《中边》、《现观》、《集论》、《瑜伽本地分》、《俱舍论》等。
印度大乘,印度大乘，印度哲学术语，公元前6世纪，佛教产生于印度，是世界三大宗教之一，创始人为乔答摩•悉达多(GautamaSiddhārtha)，被尊称为释迦牟尼(Śākyamuni)，意即“释迦族圣人”。他宣称觉悟真理，自称佛陀(buddha)，意即“觉悟者”，佛教由此得名。印度大乘，是印度佛教中的重要组成部分。大乘，梵文mahāyāna，亦称大乘教、大乘佛法，音译“摩诃衍那”、“摩诃衍”。mahā，大，yāna，车乘，故mahāyāna有大的车乘之意，是能够自利利他，自觉觉他，引领众生趣向解脱，圆满成佛的教法，大乘佛教以“普渡众生”成佛为目地。佛陀教法分三乘：人天乘、小乘和大乘；读每一部佛经的时候，首先都应判断，是属于佛陀教法体系的哪一个部分，判教是非常重要的，如果不了解判教，把这三套教法混起来学习，只能造成思想的混乱。佛陀印可的《解深密经》三时判教最权威。要特别强调的是，佛陀三乘佛法，不是每一个学佛者在这一生当中的修行次第。 大乘佛法的两个路径，也就是《解深密经》中指出的佛陀二时教法和三时教法，二者之间不存在次第关系。佛陀二时教法与三时教法，是两个独立的修行路径。一个能够发起菩提心的人，直截了当修大乘法。
登地菩萨,登地菩萨，佛教术语，登地梵文bhūmy-ākramaṇa，菩萨梵文bodhisattva，在佛教中指见到佛陀证悟的真实的菩萨。大乘佛法不同的经典，对菩萨道的修行，在阶段的划分上有不同的划分方法。最常见的划分方法，把从凡夫到成佛整个菩萨道的修行历程，分成五个阶段，也叫五位。分别起名叫资粮位、加行位、见道位、修道位、证道位，描述了一个凡夫从发心到最后成佛的完整的修行历程。见道，佛教也叫“现证真实”，就是见到了佛陀证悟的真实。之后进入修道位。见道之后，也叫登地的菩萨，就进入了初地、二地、三地、四地、五地、以至十地，然后等觉、妙觉，这样一系列的不断深入的阶段的修行。见道之后的这些登地菩萨的修行，是基于诸法的真实性而发心、而修行六度境界是不一样的。佛陀证悟的真实，在二时教法常用的名言是“实相”，在三时教法叫真实性，叫“真如”。佛教界公认最著名的登地菩萨是龙树菩萨。
菩萨乘,菩萨乘，佛教术语，梵文bodhisattva-yāṇa，由bodhisattva和yāṇa两个词组成，指大乘佛法，“菩萨乘，也就是大乘，”。菩萨，梵文是bodhisattva，音译成“菩提萨埵”，由两个词组成的，bodhi和sattva。bodhi是觉，sattva指有情，就是众生。bodhisattva合起来译作“觉有情”，就是“自觉觉他的有情”。觉有情有两重含义：第一，所谓觉有情就是不断努力寻求自我觉悟的有情，即感到生死轮回的苦，感到自己无明所障，要打破无明，要解脱，努力寻求自我觉悟的有情；第二，佛陀说这世界是缘生的，这世界是无我的，最后发现哪里有一个孤零零的自我的觉，我的觉就是众生的觉，离开了众生的觉，没有一个我的觉，实现我的觉就是要实现众生的觉，离开了实现众生的觉没有一个孤零零的我的觉。因此这些不断努力寻求自我觉悟的众生，发现自我觉悟只有通过觉悟其他众生而实现，所以觉有情的第二重含义就是觉他。yāṇa音译为衍那，意译为运输工具，引申义为乘渡。
三乘,三乘，佛教术语，梵文trīṇiyānāni，佛陀显教的教理，分为三乘，即人天乘、小乘和大乘。认同了三世说生命观，但生不起出离心的人，佛陀为他们讲了人天乘的法。认同了三世说生命观又能生起出离心，但生不起菩提心的人，佛陀给他们说了小乘佛法的法。声闻乘和缘觉乘，这两个乘合起来，就是通俗讲的小乘。佛陀给认同了三世说生命观又能够生起出离心，还能够生起菩提心的人，说了大乘佛法。 对小乘教法和大乘教法，依《解深密经》，又做了三时判教，小乘佛法又被称为初时教法，而大乘佛法分为二时教法和三时教法。初时教法对应的就是声闻乘和缘觉乘，而二时教法跟三时教法是菩萨乘，也就是大乘。
无住涅槃,无住涅槃，佛教术语，梵文apratiṣṭhita-nirvāṇa，指佛的涅槃，即大乘佛法修行的佛果，是智不住生死，悲不住涅槃，佛陀以宏深悲愿不入涅槃而永度众生，这是大乘佛法的不共，这是大乘佛法的殊胜。在《楞伽经》中就表达为佛不住涅槃，涅槃不住佛，亦称为无住处涅槃。
增益,佛教术语，梵文samāropa，就是凡夫死死抓住了一个在佛陀看来根本不真实的世界把它当成真实，这种真实性是凡夫强加上去的，是错误认识造成的，这个错误在佛教里边叫作增益。增益就是我们这些凡夫无明所障，糊涂，误把我们凡夫境界上的在佛陀看来根本不真实的世界当作真实。我们把凡夫境界上我们误以为真实的世界死死地抓在手里，而佛陀说，这就是妨碍着我们见到真实的最大障碍。增益与损减是连带性错误，只要增益就一定损减。凡夫无明，把没有的当作有，这个增益的有，其实是不存在的，不可得的。不能如实观察增益有的不可得，执著增益有为真有，这就是见证真实性的障碍，因此就一定损减。佛陀说，这就是增益相和损减相。
损减,损减，佛教术语，梵文是apavāda，就是见不到真正的真实的错误，就是不承认圣者、佛陀有亲证的真实性，也就是把真实性在我们凡夫心中给丢掉了，那么这个错误，佛教里给了一个专有名词，叫损减。增益与损减是凡夫犯的两个根本性错误。增益的错误，就是我们凡夫死死抓住了一个在佛陀看来根本不真实的世界把它当成真实，这种真实性是凡夫强加上去的，是错误认识造成的，这个错误在佛教里边叫做“增益”（samāropa）。正是因为有了增益的错误，我们死死地抓住了一个在佛陀看来根本不真实的世界当真实，因此佛陀认为，我们就再也见不到真正的真实了。见不到真正的真实的错误，佛教里给了一个专有名词，叫“损减”。因为增益，因为我们把不真实的当成了真实，所以我们见不到佛陀证悟的真正真实，这就是损减。
中道,中道，印度哲学术语，梵文madhyamā-pratipat，原意是指不堕入二元对立、远离二边见的见解，也就是“不二”就是中道。在佛教中，对中道的究竟意义的解读是指远离增益与损减的“不增益、不损减”的境界。中道在佛教当中是非常重要的概念，对中道的解读要依据判教解读。
不落世俗因果不昧胜义因果,"“不落因果，不昧因果”，此典故来自盛唐时期一禅宗公案，百丈禅师在江西的百丈山开堂说法，点化一野狐而得。在佛教中，讲因果有两重境界, 世俗因果是凡夫境界上法与法之间的因果，是假因果，必须空。世俗因果不空，凡夫境界解构不彻底，就无法见道解脱。胜义因果是立足于圣者境界安立的藏识缘起，是真因果,不能空。胜义因果不是给凡夫境界找到因，而是给凡夫境界不存在，凡夫 误以为存在的“错觉”(虚妄分别)找到因。世俗因果是“所”上的因果，落宿命，无法解脱。胜义因果是 “能”上的因果，有因果但不落宿命。不落世俗因果，不昧胜义因果。 能(因)上精进，所(果)上随缘。"
凡夫心,凡夫心，净名精舍术语。凡夫心的理解可以立足凡夫境界和圣者境界做不同的解读，二时教法是佛陀立足于凡夫境界向凡夫说法，二时教法说的凡夫心是凡夫自己当下的精神活动、觉知，即凡夫的心。大乘佛法佛陀对凡夫境界做了最彻底的解构，万法皆空、一切法无生，因此，在凡夫境界上说的“心”与“物”是不存在的、根本无生。二时教法的凡夫心是凡夫以为的凡夫境界，是空的对象。三时教法佛陀立足圣者境界向凡夫说法，三时教法说的凡夫心，也称为识、阿赖耶识、藏识，唯登地以上圣者能见，非凡夫臆度之所能知。三时教法的凡夫心指没有转识成智的识，由于是圣者能见的一分真实，只能转不能空，转识成智，就是从凡夫心转为圣者心。在三时教法看来圣者能见的凡夫心，也就是由虚妄分别熏习的杂染种子所积淀下的凡夫心。凡夫心、杂染种子、杂染依他起自性是障碍证悟圆成实自性的真正障碍。立足点不同是学习大乘佛法的要害，二时教法与三时教法由于说法的立足点的不同，导致了两套相对独立的名言系统，二时教法的“凡夫心”跟三时教法的“凡夫心”是不同的，因此，不可混讲，也不能混学。
圣者心,圣者心，净名精舍专业术语，指见道登地以上圣者的心。三时教法的“心”既代表凡夫心也代表圣者心，三时教法的“心”是唯见道登地以上的圣者能见，非凡夫臆度之所能知。凡夫心和圣者心只是心的两种不同状态，凡夫心是一种“分离”的认知模式，是糊涂的；基于对凡夫心认知模式的否定角度来表达，佛说圣者心是一种“不分离”的认知模式。指的是“能与所”的不分离，就是能认识的“心”与被认识的“物”的不分离，是无分别的，这种认知模式就是圣者心。三时教法中的“心”分 “识”与 “智”，“识”与 “智”都可以叫做 “心”，“识”也称阿赖耶识、藏识或凡夫心，“智”称为正智或圣者心。从三时教法的三自性中的依他起自性角度理解，依他起自性分杂染和清净两部分，杂染部分是“识”，清净部分是“智”，从“识”转变为“智”，叫做“转识成智”，就是从凡夫心转为圣者心。佛陀在三时教法中安立“识”，是为解构凡夫境界，重点在于破增益；“智”是为建构圣者境界，是补损减。
错觉,错觉，净名精舍术语，梵文vikalpa、prativikalpa或saṃkalpa等，即虚妄分别，指心外事物不存在而凡夫非误以为心外事物存在的错误认识。分别是虚妄的，为了便于理解，净名精舍首席学术导师于晓非教授引入现代词“错觉”，来表示虚妄分别。分别就是虚妄，分别就是错觉。
波罗蜜,波罗蜜，佛教术语，梵文pārami，音译为波罗蜜，同义梵文Pāramitā，音译为波罗蜜多 。基本含义是过河、到彼岸，意译为“渡”通“度”，佛教界习惯使用“度”。基于印度人对三世说生命观的独特理解，波罗蜜譬喻为过生命之河，过生死之河。就是从生生死死的轮回的此岸度到涅槃的彼岸。“波罗蜜”，是大乘佛教最能够传达佛教思想精髓的词汇之一，涉及佛陀教法要解决的根本问题。佛陀的初时、二时、三时教法就是给不同的众生提供过河的解决方案，佛说的一切法都是波罗蜜，小乘初时教法属于波罗蜜，大乘二时和三时教法属于甚深般若波罗蜜。
般若,般若，佛教术语，梵文prajñā，俗语形态paññā。“般若”是paññā的音译，是指凡夫内心普遍具有着的可以打破无明见真实的能力，勉强意译为“大智慧”，以区别于世智辩聪。般若的法义很深，凡夫具有两面性，一面是“无明所障”，另一面又具备着可以打破无明见真实的能力，这个能力就是般若。
外相,外相，净名精舍术语，梵文nimitta，lakṣaṇa，表示的都是外相，就是指由于分别而误以为心外有事物的相。无外相，梵文ānimitta，就是凡夫心外之相不存在。外相，属于佛陀三时教法名言体系，是学懂唯识的重要词汇之一。以眼翳执毛模型为例，阿赖耶识种子的现行两件事情，是显现与分别。显现，就是生了翳病的眼睛显现出了似毛的影，梵文叫ābhāsa，这个词往往翻译成影相，就是这个影的相，是似外之相。因此ābhāsa这个词，准确的翻译应该是“似相”，相似的似。对这个ābhāsa的“似相”起了分别，把一个似毛的影给误执为眼睛之外的真的毛。当误执为真毛存在的时候，这个毛也有相，比如说长短之相，直弯之相，那么对这个毛的相，梵文表达最常用的是两个词，一个是nimitta，一个是lakṣaṇa。这两个词，往往都翻译成“相”。其实严格意义上，它应该翻成“外相”，就是心外之物的相。凡夫位的修行，要对治的就是这个外相nimitta，要领受“境界自心现”，等到彻底领悟了无外相，就要见道登地做菩萨了。佛教说无相是有两重无相，无外相和无似相，就是无nimitta和无ābhāsa。
无似相,无似相，净名精舍术语，梵文 nirābhāsa ，就是ābhāsa加了一个否定的前缀nir，意思是没有ābhāsa的相，用个比喻就是生翳病的眼睛显现的似毛的影，这个影就是ābhāsa。加上否定前缀nir，nirābhāsa就是没有影，实叉难陀译为“无影”，也可以译为“无似相”。nirābhāsa这个词在《楞伽经》中，甚至在整个佛陀三时教理中，是举足轻重、至关重要的核心词之一，是佛陀三时教法讲的两重无相之一，如果分不清无外相和无似相，就不可能学懂唯识，就不可能通达佛陀三时教法，求那跋陀罗对nirābhāsa的错误翻译，是造成千百年来汉传佛教误读《楞伽经》的重要原因之一。在大乘佛法三时教法的眼翳执毛模型中，生了翳病的眼睛显现出了似毛的影，这个影在梵文里就叫ābhāsa，往往翻译成影相，就是这个影的相，是似外之相，因此ābhāsa准确的翻译应该是似相。无似相，就是把生翳病的眼睛治好了，似毛的影都没有了。也就是经过从初地到七地的修行，转染成净，对ābhāsa的显现坚决不做分别，以清净种子完全替代了杂染种子，以至于连ābhāsa的显现都没有了，证得无似相，彻底清除了证真如的障碍登八地证真如。因此，从七地登八地的标志就是证无似相。见道位之前的资粮位和加行位的修行，是了知心外境界，唯心所现；了知外相（nimitta）不存在，修“无外相相”。见道之后，初地到七地，虽无外相（nimitta），但往昔在阿赖耶识中种下的杂染种子还在，还会有ābhāsa的显现，因此，初地到七地修“无似相相”，所以无似相与无外相是完全不同的修行阶段。而佛教说无相是有两重无相，无外相和无似相，就是无nimitta和无ābhāsa。无外相而见道登初地，无似相而由七地登八地。
无外相,无外相，净名精舍术语，梵文a-nimitta，就是凡夫心外之相不存在。 大乘佛法修行空性、无相和无愿“三解脱门”，其中的无相，就是指无外相。
二边见,二边见，佛教术语，梵文antadvaya-grāha（待确认）。二是凡夫的基本特征，在佛陀看来，凡夫对凡夫自以为的真实世界的认知有一个特点，就是总是构建一对儿一对儿的相待的名言来理解、表达、描述凡夫自以为的真实世界。比如说凡夫面对着自以为真实的世界，总要作美与丑、善与恶、长与短、高与矮、生与灭、常与断等等的判断，这一对一对的名言总是相待而立的，所谓相待，是指这些名言只能在相互关联中而施设，不能独立地存在。凡夫总是用这种落于两边的认知模式来理解和表达这个世界，佛法把凡夫的这种认知模式叫做二边见。在佛陀看来，二是凡夫的基本特征，凡夫一定二，只要二就一定是凡夫。
心,心，佛学和哲学通用术语，对心的正确的、究竟意义解读，是指佛陀三时教法中讲的心，可以分为广义和狭义两个层面解读。狭义上讲，心，梵文是﻿citta，词根是ci，就是聚集、收藏的意思。就是表示所谓的心，具有聚集、收藏的作用。“心能积集业”，梵文是﻿cittena cīyate karma。这句偈颂的意思是用“心”，聚集、收藏业。广义上讲，心，指佛陀三时教法所讲述的阿赖耶识、正智、真如。
二时教法的心,"二时教法的心，最常见的表达是菩提心，佛教术语，梵文是bodhi-citta。般若经当中，把菩提心分成了两个方面，分别起名叫作“世俗谛菩提心”和“胜义谛菩提心”。从般若经看，世俗谛菩提心跟胜义谛菩提心两个菩提心都生起了，就算生起菩提心了。从大乘佛法的修行来讲，一切都是从发菩提心开始的。
在二时教法中，心的另一种含义，更多地表达为思想、精神、心灵、甚至是灵魂，英文常表达为mind、consciousness，甚至是soul。这是人们通常所理解的心，这种对于心的理解，是有主体的理解，认为心是我的心，是我的思想，是我的意识，甚至是我的灵魂。这是对心的错误的理解。对于这种理解，佛陀是批判的。对于这种理解的心，佛法讲是必须要空的。"
三时教法的心,"心，佛学和哲学通用术语，对心的正确的、究竟意义解读，是指佛陀三时教法中讲的心，可以分为广义和狭义两个层面解读。狭义上讲，心，梵文是﻿citta，词根是ci，就是聚集、收藏的意思。就表示所谓心，就是具有聚集、收藏的作用。“心能积集业”，梵文是﻿cittena cīyate karma。这句偈颂的意思是用“心”，聚集、收藏业。广义上讲，心，指佛陀三时教法所讲述的阿赖耶识、正智、真如。
"
胜义谛菩提心,胜义谛菩提心，佛教术语，梵文 āryasatya-bodhi-citta ，在世俗谛菩提心愿的驱使下，在空上度众生就是胜义谛菩提心。菩提心的法义很深，可以从不同角度，不同层次去解读菩提心，比如“性空”和“空性”的不同层次。二时教法对菩提心有个解读，这是入手修行大乘佛法的一个方便。般若经说菩提心是由两个方面组成的，分别起名叫作“世俗谛菩提心”和“胜义谛菩提心”。从般若经看，世俗谛菩提心跟胜义谛菩提心两个菩提心都生起了，就算生起菩提心了。胜义谛菩提心就是在世俗谛菩提心的心愿的驱使下，切切实实度化一切众生走向无余涅槃的当口，还要生起一个心，观一切法是空：能度众生的菩萨是空，被菩萨度的众生是空，菩萨度众生这件事儿还是空。
世俗谛菩提心,世俗谛菩提心，佛教术语，梵文saṃvṛtti-satyatva bodhi-citta，是要发心度一切众生走向涅槃。一个修行大乘佛法的人，在悲心驱使下，要对一切众生进行帮助，进行度脱，修行的结果是增加福德，这是世俗谛菩提心。菩提心的法义很深，可以从不同角度，不同层次去解读菩提心，比如“性空”和“空性”的不同层次。二时教法对菩提心有个解读，这是入手修行大乘佛法的一个方便。般若经说菩提心是由两个方面组成的，分别起名叫作“世俗谛菩提心”和“胜义谛菩提心”。从般若经看，世俗谛菩提心跟胜义谛菩提心两个菩提心都生起了就算生起菩提心了。世俗谛菩提心，就是在世俗谛上，一个修行大乘佛法的人，一定要生起一个心，按照《金刚经》的话讲，对于“所有一切众生之类，我皆令入无余涅槃而灭度之”。
熏习,熏习，佛教术语，梵文paribhāvita，众生的行为当生即灭了，但是这个行为会在藏识当中熏习下一颗种子，藏识里的种子就是由众生的行为熏习而来的。
不生不灭,"不生不灭，佛教术语，不生梵文是 anutpanna，佛陀说不生不灭，目的是说无生，两重无生。两重无生，皆是圣者证悟的境界。
大乘佛法里不生不灭的境界，分为两重无生。第一重无生是凡夫执著的境界无生，是凡夫境界“从来无，何须生”。第二重无生是佛陀亲证的真如无生，佛证真如“本来有，不需生”。学佛修行，从大乘佛法来讲，讲不生不灭，就是证这两重无生。
"
无我,"无我，佛教术语，梵文是anātman，可细分为人无我和法无我，即没有能认识世界的精神主体我，也没有被我所认识的客观世界。人无我、法无我，合称为“二无我”，简称“无我”。无我，是“无生”的另一种表达。
佛陀被称为“说缘起者”。“缘起”是佛教的重要标志。佛陀说缘起，就是为了说无生，就是为了说无我。"
六识,六识，佛教术语，梵文ṣaḍvijñāna（待查），六识是眼识、耳识、鼻识、舌识、身识、意识的统称。 在三时教法体系里边，我们讲只有一个识——阿赖耶识，前六识不过是阿赖耶识杂染种子现行时所表现出来的分别的功能，不是在阿赖耶识之外，还有这六个识，在三时教法里边，六识就是阿赖耶识，六识与阿赖耶识的关系是海浪与大海的关系，所以在三时教法里六识不能空，要转。二时教法里也有眼识、耳识、鼻识、舌识、身识、意识，但在二时教法里边，这六个识是凡夫当下的觉知的自己的凡夫心，是纯粹的属于凡夫境界，这就如同在二时教法里边讲色、声、香、味、触、法这六尘，这六种外境一样，是纯粹的凡夫境界，在二时教法中具体就是指眼耳鼻舌身意这六个器官上所具有的功能，这个识就是认识的识。在二时教法中这个六识是凡夫当下觉知的凡夫的心，是属于凡夫以为的凡夫境界，因此要空。
眼翳执毛模型,眼翳执毛模型，净名精舍术语，就是一个眼睛生了翳病的人，本来是因为生病，自身显现了影，他非不以为是影，非误以为是心外的毛，执着着这个心外的毛，这个执、这个错误认识的强化，就使得这个毛在我们的感知世界里无比真实了，坚不可摧了。可是佛陀告诉我们，其实这个毛根本不存在，存在的只是心外没有毛，你非误以为有毛的错觉而已。 此模型是理解三时教法核心藏识缘起的重要模型，由净名精舍首席学术导师于晓非老师总结构建。
种子熏现模型,种子熏现模型，净名精舍术语，是佛陀三时教法中描述藏识缘起的模型，也是理解胜义因果的重要模型，更是学习和理解佛陀三时教法理论体系的重要基础模型，由净名精舍首席学术导师于晓非老师总结构建。种子的熏习和现行，就是凡夫当下的行为（用梵文kṛ 来表述众生一切的行为），这个kṛ是无常的，是当生即灭的，但是它的作用要延续。在佛陀的三时教法，在唯识宗当中，这种作用的延续就是用藏识熏习种子的模型来表达的。这个kṛ无常、当生即灭，但是kṛ在藏识当中熏习下了一颗种子，而这颗种子等待因缘成熟的时候，它又会现行为一个新的kṛ，而这个新的行为、新的kṛ它依然是无常的、当生即灭的。这个新的kṛ虽然灭了，但是它的作用要延续下去，这个作用的延续就体现为这个新的kṛ，又在阿赖耶识、在藏识当中熏习下了一颗新的种子，这样的无穷的往复，就形成了众生的行为，以及导致这个行为所产生的那种延续的力量。在三时教法里，这就是藏识所安立的模型。这个模型我们给它起个名字，就叫做“种子熏现模型”。这里边的关键词，第一，是藏识—阿赖耶识；第二，就是kṛ；第三，就是熏习；第四，就是种子；第五，就是现行。现行这个词非常重要，翻译得非常好，它是现的行为，不是显现出物，而仅仅是显现的行为。在佛陀的三时教法，在瑜伽行派，在唯识宗里边，佛陀就是用种子熏现模型来描述我们凡夫心的活动。
眼识转起模型,眼识转起模型，净名精舍术语，是圣者对“看见了”是什么，是什么原因而产生了“看见了这件事儿”的理解。《大乘入楞伽经》中云：“有四种因缘眼识转。何等为四？所谓不觉自心现而执取故，无始时来取著于色虚妄习气故，识本性如是故，乐见种种诸色相故。”佛陀用四种因缘，讲述眼识转起模型。
阿赖耶识,阿赖耶识，佛教术语，梵文ālayavijñāna，也译作藏识，就是具有收藏的功能的识，又名空如来藏，亦即依他起自性的杂染部分，是圣者才能见的心识上的种子与kṛ（即虚妄分别）的相互缘起，是胜义因果，是“藏识缘起”，是登初地以上的菩萨、圣者才能见的凡夫心。
阿赖耶识四要点,阿赖耶识四要点，净名精舍术语，准确理解佛陀三时教法的关键之一，就是要准确理解阿赖耶识，为了很好把握阿赖耶识的法义，净名精舍首席学术导师于晓非老师依据《楞伽经》、《解深密经》等，总结了四条学习阿赖耶识的要点：第一，阿赖耶识是圣者能见的一分真实。第二，阿赖耶识是凡夫的错误认识所积淀。第三，既然阿赖耶识是圣者能见，所以阿赖耶识不能空。第四，阿赖耶识虽然不能空，但阿赖耶识毕竟是凡夫的错误认识所积淀的，因此空虽不能空，必须得转——转识成智。这是佛陀三时教法的特点，是三时教法的殊胜。
能取,能取，佛教术语，梵文grāha，凡夫误执心外有 nimitta，就一定会误以为还有一个真能执取心外之物的能力，这个能力，唯识学起个名字，叫“能取”，因此，“似能执取”心外之物的能力叫“见分”，凡夫误以为有的“真能执取”心外之物的能力叫“能取”。
所取,所取，佛教术语，梵文grāhya，“相分”是凡夫执心外有事物的诱因，而凡夫误执的心外事物，也就是外境或者叫外境之相，即外相nimitta，在唯识学里，起个名字，叫“所取”。ābhāsa 是相分，nimitta 是所取。
能所不分离,能所不分离，佛教术语，圣者的认知模式，从对凡夫的误以为能所分离的认知模式的否定角度来表达的话，圣者的认知模式就是“能所不分离”的认知模式，圣者心是能所不分离。
意,意，佛教术语，梵文 manas，音译为“末那识”，又叫“意根”，在阿赖耶识八分法中对应第七识。意是隐藏在分别背后，使分别得以实现的推动力。没有第七识的驱动，前六识是转不起来的。
